MCC scores, NORMALITY:
           W      pval  normal
0   0.780786  0.008463   False
1   0.946012  0.621622    True
2   0.767076  0.005761   False
3   0.922244  0.376055    True
4   0.795450  0.012765   False
5   0.936704  0.516958    True
6   0.962783  0.817080    True
7   0.929005  0.438175    True
8   0.950513  0.674567    True
9   0.949766  0.665735    True
10  0.979363  0.961666    True
11  0.948618  0.652180    True
12  0.883288  0.142311    True

 ANOVA:
                 sum_sq     df         F    PR(>F)
C(treatments)  0.017976   12.0  0.759076  0.690872
Residual       0.230889  117.0       NaN       NaN

 HSD Tukey:
Multiple Comparison of Means - Tukey HSD, FWER=0.05
===================================================
group1 group2 meandiff p-adj   lower  upper  reject
---------------------------------------------------
     0      1   0.0028    0.9 -0.0644   0.07  False
     0      2   0.0019    0.9 -0.0653 0.0691  False
     0      3  -0.0028    0.9 -0.0699 0.0644  False
     0      4  -0.0066    0.9 -0.0738 0.0606  False
     0      5  -0.0021    0.9 -0.0693 0.0651  False
     0      6  -0.0001    0.9 -0.0673 0.0671  False
     0      7   -0.038 0.7583 -0.1052 0.0292  False
     0      8   0.0021    0.9 -0.0651 0.0693  False
     0      9  -0.0032    0.9 -0.0704  0.064  False
     0     10   0.0094    0.9 -0.0578 0.0766  False
     0     11  -0.0119    0.9 -0.0791 0.0553  False
     0     12   0.0121    0.9 -0.0551 0.0793  False
     1      2  -0.0009    0.9 -0.0681 0.0663  False
     1      3  -0.0056    0.9 -0.0728 0.0616  False
     1      4  -0.0094    0.9 -0.0766 0.0578  False
     1      5  -0.0049    0.9 -0.0721 0.0623  False
     1      6  -0.0029    0.9 -0.0701 0.0643  False
     1      7  -0.0408 0.6715  -0.108 0.0264  False
     1      8  -0.0007    0.9 -0.0679 0.0665  False
     1      9   -0.006    0.9 -0.0732 0.0612  False
     1     10   0.0066    0.9 -0.0606 0.0738  False
     1     11  -0.0147    0.9 -0.0819 0.0525  False
     1     12   0.0093    0.9 -0.0579 0.0765  False
     2      3  -0.0047    0.9 -0.0719 0.0625  False
     2      4  -0.0086    0.9 -0.0758 0.0586  False
     2      5  -0.0041    0.9 -0.0713 0.0631  False
     2      6   -0.002    0.9 -0.0692 0.0652  False
     2      7  -0.0399 0.6982 -0.1071 0.0273  False
     2      8   0.0002    0.9  -0.067 0.0674  False
     2      9  -0.0051    0.9 -0.0723 0.0621  False
     2     10   0.0074    0.9 -0.0598 0.0746  False
     2     11  -0.0138    0.9  -0.081 0.0534  False
     2     12   0.0102    0.9  -0.057 0.0773  False
     3      4  -0.0039    0.9 -0.0711 0.0633  False
     3      5   0.0006    0.9 -0.0666 0.0678  False
     3      6   0.0027    0.9 -0.0645 0.0699  False
     3      7  -0.0352 0.8435 -0.1024  0.032  False
     3      8   0.0049    0.9 -0.0623 0.0721  False
     3      9  -0.0004    0.9 -0.0676 0.0668  False
     3     10   0.0121    0.9 -0.0551 0.0793  False
     3     11  -0.0091    0.9 -0.0763 0.0581  False
     3     12   0.0148    0.9 -0.0523  0.082  False
     4      5   0.0045    0.9 -0.0627 0.0717  False
     4      6   0.0066    0.9 -0.0606 0.0738  False
     4      7  -0.0313    0.9 -0.0985 0.0359  False
     4      8   0.0088    0.9 -0.0584 0.0759  False
     4      9   0.0035    0.9 -0.0637 0.0707  False
     4     10    0.016    0.9 -0.0512 0.0832  False
     4     11  -0.0053    0.9 -0.0725 0.0619  False
     4     12   0.0187    0.9 -0.0485 0.0859  False
     5      6   0.0021    0.9 -0.0651 0.0693  False
     5      7  -0.0358 0.8244  -0.103 0.0314  False
     5      8   0.0043    0.9 -0.0629 0.0715  False
     5      9   -0.001    0.9 -0.0682 0.0662  False
     5     10   0.0115    0.9 -0.0557 0.0787  False
     5     11  -0.0098    0.9  -0.077 0.0574  False
     5     12   0.0142    0.9  -0.053 0.0814  False
     6      7  -0.0379 0.7601 -0.1051 0.0293  False
     6      8   0.0022    0.9  -0.065 0.0694  False
     6      9  -0.0031    0.9 -0.0703 0.0641  False
     6     10   0.0094    0.9 -0.0578 0.0766  False
     6     11  -0.0118    0.9  -0.079 0.0554  False
     6     12   0.0122    0.9  -0.055 0.0793  False
     7      8   0.0401 0.6926 -0.0271 0.1073  False
     7      9   0.0348 0.8565 -0.0324  0.102  False
     7     10   0.0473 0.4668 -0.0199 0.1145  False
     7     11   0.0261    0.9 -0.0411 0.0933  False
     7     12   0.0501 0.3743 -0.0171 0.1172  False
     8      9  -0.0053    0.9 -0.0725 0.0619  False
     8     10   0.0072    0.9 -0.0599 0.0744  False
     8     11   -0.014    0.9 -0.0812 0.0532  False
     8     12     0.01    0.9 -0.0572 0.0772  False
     9     10   0.0125    0.9 -0.0547 0.0797  False
     9     11  -0.0087    0.9 -0.0759 0.0585  False
     9     12   0.0153    0.9 -0.0519 0.0825  False
    10     11  -0.0213    0.9 -0.0885 0.0459  False
    10     12   0.0027    0.9 -0.0645 0.0699  False
    11     12    0.024    0.9 -0.0432 0.0912  False
---------------------------------------------------
