MCC scores, NORMALITY:
                           W      pval  normal
p5lr.1mlr.0001a.5   0.956371  0.743833    True
p10lr.1mlr.0001a.5  0.937939  0.530314    True
p15lr.1mlr.0001a.5  0.944807  0.607630    True
p20lr.1mlr.0001a.5  0.975866  0.939282    True
p25lr.1mlr.0001a.5  0.961708  0.805165    True
p20lr.1mlr.001a.4   0.952329  0.696092    True
p20lr.2mlr.01a.5    0.887955  0.160797    True
p5lr.2mlr.008a.5    0.982762  0.978223    True
p10lr.05mlr.001a.5  0.864720  0.086716    True
p15lr.1mlr.001a.5   0.833699  0.037072   False
p10lr.3mlr.01a.3    0.801155  0.014975   False
p25lr.15mlr.001a.5  0.906811  0.259793    True
p20lr.1mlr.002a.5   0.962376  0.812593    True

 ANOVA:
                 sum_sq     df         F   PR(>F)
C(treatments)  0.043089   12.0  1.583243  0.10572
Residual       0.265354  117.0       NaN      NaN

 HSD Tukey:
            Multiple Comparison of Means - Tukey HSD, FWER=0.05            
===========================================================================
      group1             group2       meandiff p-adj   lower  upper  reject
---------------------------------------------------------------------------
p10lr.05mlr.001a.5 p10lr.1mlr.0001a.5   0.0036    0.9 -0.0684 0.0757  False
p10lr.05mlr.001a.5   p10lr.3mlr.01a.3    0.036 0.8934  -0.036 0.1081  False
p10lr.05mlr.001a.5 p15lr.1mlr.0001a.5   0.0229    0.9 -0.0491  0.095  False
p10lr.05mlr.001a.5  p15lr.1mlr.001a.5   0.0269    0.9 -0.0451  0.099  False
p10lr.05mlr.001a.5 p20lr.1mlr.0001a.5   0.0437 0.6722 -0.0284 0.1157  False
p10lr.05mlr.001a.5  p20lr.1mlr.001a.4    0.045 0.6341  -0.027  0.117  False
p10lr.05mlr.001a.5  p20lr.1mlr.002a.5   0.0347    0.9 -0.0374 0.1067  False
p10lr.05mlr.001a.5   p20lr.2mlr.01a.5   0.0669 0.0969 -0.0052 0.1389  False
p10lr.05mlr.001a.5 p25lr.15mlr.001a.5   0.0486 0.5291 -0.0234 0.1207  False
p10lr.05mlr.001a.5 p25lr.1mlr.0001a.5   0.0303    0.9 -0.0417 0.1023  False
p10lr.05mlr.001a.5  p5lr.1mlr.0001a.5   0.0081    0.9 -0.0639 0.0801  False
p10lr.05mlr.001a.5   p5lr.2mlr.008a.5    0.029    0.9 -0.0431  0.101  False
p10lr.1mlr.0001a.5   p10lr.3mlr.01a.3   0.0324    0.9 -0.0396 0.1044  False
p10lr.1mlr.0001a.5 p15lr.1mlr.0001a.5   0.0193    0.9 -0.0527 0.0914  False
p10lr.1mlr.0001a.5  p15lr.1mlr.001a.5   0.0233    0.9 -0.0487 0.0954  False
p10lr.1mlr.0001a.5 p20lr.1mlr.0001a.5   0.0401 0.7766  -0.032 0.1121  False
p10lr.1mlr.0001a.5  p20lr.1mlr.001a.4   0.0414 0.7386 -0.0307 0.1134  False
p10lr.1mlr.0001a.5  p20lr.1mlr.002a.5   0.0311    0.9  -0.041 0.1031  False
p10lr.1mlr.0001a.5   p20lr.2mlr.01a.5   0.0632 0.1477 -0.0088 0.1353  False
p10lr.1mlr.0001a.5 p25lr.15mlr.001a.5    0.045 0.6336  -0.027  0.117  False
p10lr.1mlr.0001a.5 p25lr.1mlr.0001a.5   0.0267    0.9 -0.0454 0.0987  False
p10lr.1mlr.0001a.5  p5lr.1mlr.0001a.5   0.0045    0.9 -0.0675 0.0765  False
p10lr.1mlr.0001a.5   p5lr.2mlr.008a.5   0.0253    0.9 -0.0467 0.0974  False
