Training time, NORMALITY:
           W      pval  normal
0   0.925749  0.407407    True
1   0.963858  0.828802    True
2   0.946251  0.624407    True
3   0.932242  0.470302    True
4   0.950999  0.680331    True
5   0.971899  0.907870    True
6   0.938354  0.534846    True
7   0.935530  0.504429    True
8   0.851099  0.059863    True
9   0.929654  0.444493    True
10  0.915464  0.320667    True
11  0.967415  0.865896    True
12  0.976906  0.946488    True

 ANOVA:
                 sum_sq     df          F        PR(>F)
C(treatments)  0.160347   12.0  42.009764  1.018939e-36
Residual       0.037215  117.0        NaN           NaN

 HSD Tukey:
Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
----------------------------------------------------
     0      1    0.028 0.0347   0.001  0.0549   True
     0      2   0.0521  0.001  0.0251   0.079   True
     0      3   0.0939  0.001  0.0669  0.1209   True
     0      4   0.1069  0.001  0.0799  0.1339   True
     0      5   0.0486  0.001  0.0216  0.0756   True
     0      6   0.0307 0.0118  0.0037  0.0576   True
     0      7  -0.0095    0.9 -0.0365  0.0174  False
     0      8   0.0122    0.9 -0.0148  0.0392  False
     0      9   0.0348 0.0019  0.0078  0.0618   True
     0     10  -0.0002    0.9 -0.0272  0.0268  False
     0     11   0.0812  0.001  0.0542  0.1082   True
     0     12   0.0463  0.001  0.0193  0.0733   True
     1      2   0.0241 0.1306 -0.0029  0.0511  False
     1      3   0.0659  0.001  0.0389  0.0929   True
     1      4   0.0789  0.001   0.052  0.1059   True
     1      5   0.0206 0.3294 -0.0063  0.0476  False
     1      6   0.0027    0.9 -0.0243  0.0297  False
     1      7  -0.0375  0.001 -0.0645 -0.0105   True
     1      8  -0.0157  0.719 -0.0427  0.0112  False
     1      9   0.0068    0.9 -0.0202  0.0338  False
     1     10  -0.0282 0.0322 -0.0551 -0.0012   True
     1     11   0.0532  0.001  0.0263  0.0802   True
     1     12   0.0183  0.522 -0.0087  0.0453  False
     2      3   0.0418  0.001  0.0148  0.0688   True
     2      4   0.0548  0.001  0.0279  0.0818   True
     2      5  -0.0034    0.9 -0.0304  0.0235  False
     2      6  -0.0214 0.2766 -0.0484  0.0056  False
     2      7  -0.0616  0.001 -0.0886 -0.0346   True
     2      8  -0.0398  0.001 -0.0668 -0.0129   True
     2      9  -0.0173 0.6016 -0.0442  0.0097  False
     2     10  -0.0523  0.001 -0.0792 -0.0253   True
     2     11   0.0292 0.0219  0.0022  0.0561   True
     2     12  -0.0058    0.9 -0.0328  0.0212  False
     3      4    0.013    0.9  -0.014    0.04  False
     3      5  -0.0453  0.001 -0.0722 -0.0183   True
     3      6  -0.0632  0.001 -0.0902 -0.0362   True
     3      7  -0.1034  0.001 -0.1304 -0.0764   True
     3      8  -0.0817  0.001 -0.1086 -0.0547   True
     3      9  -0.0591  0.001 -0.0861 -0.0321   True
     3     10  -0.0941  0.001 -0.1211 -0.0671   True
     3     11  -0.0127    0.9 -0.0396  0.0143  False
     3     12  -0.0476  0.001 -0.0746 -0.0206   True
     4      5  -0.0583  0.001 -0.0853 -0.0313   True
     4      6  -0.0762  0.001 -0.1032 -0.0493   True
     4      7  -0.1164  0.001 -0.1434 -0.0895   True
     4      8  -0.0947  0.001 -0.1217 -0.0677   True
     4      9  -0.0721  0.001 -0.0991 -0.0451   True
     4     10  -0.1071  0.001 -0.1341 -0.0801   True
     4     11  -0.0257  0.079 -0.0527  0.0013  False
     4     12  -0.0606  0.001 -0.0876 -0.0336   True
     5      6  -0.0179 0.5495 -0.0449   0.009  False
     5      7  -0.0581  0.001 -0.0851 -0.0312   True
     5      8  -0.0364  0.001 -0.0634 -0.0094   True
     5      9  -0.0138 0.8667 -0.0408  0.0131  False
     5     10  -0.0488  0.001 -0.0758 -0.0218   True
     5     11   0.0326 0.0051  0.0056  0.0596   True
     5     12  -0.0023    0.9 -0.0293  0.0246  False
     6      7  -0.0402  0.001 -0.0672 -0.0132   True
     6      8  -0.0184 0.5108 -0.0454  0.0085  False
     6      9   0.0041    0.9 -0.0229  0.0311  False
     6     10  -0.0309 0.0109 -0.0578 -0.0039   True
     6     11   0.0506  0.001  0.0236  0.0775   True
     6     12   0.0156 0.7301 -0.0114  0.0426  False
     7      8   0.0218 0.2522 -0.0052  0.0487  False
     7      9   0.0443  0.001  0.0173  0.0713   True
     7     10   0.0093    0.9 -0.0176  0.0363  False
     7     11   0.0907  0.001  0.0638  0.1177   True
     7     12   0.0558  0.001  0.0288  0.0828   True
     8      9   0.0226 0.2036 -0.0044  0.0495  False
     8     10  -0.0124    0.9 -0.0394  0.0146  False
     8     11    0.069  0.001   0.042   0.096   True
     8     12   0.0341 0.0027  0.0071   0.061   True
     9     10   -0.035 0.0017  -0.062  -0.008   True
     9     11   0.0464  0.001  0.0195  0.0734   True
     9     12   0.0115    0.9 -0.0155  0.0385  False
    10     11   0.0814  0.001  0.0544  0.1084   True
    10     12   0.0465  0.001  0.0195  0.0735   True
    11     12  -0.0349 0.0017 -0.0619  -0.008   True
----------------------------------------------------
