Training time, NORMALITY:
                           W      pval  normal
p5lr.1mlr.0001a.5   0.932990  0.477935    True
p10lr.1mlr.0001a.5  0.912608  0.299390    True
p15lr.1mlr.0001a.5  0.881237  0.134828    True
p20lr.1mlr.0001a.5  0.957409  0.755973    True
p25lr.1mlr.0001a.5  0.969902  0.889938    True
p20lr.1mlr.001a.4   0.935724  0.506485    True
p20lr.2mlr.01a.5    0.921896  0.373040    True
p5lr.2mlr.008a.5    0.917470  0.336339    True
p10lr.05mlr.001a.5  0.912955  0.301915    True
p15lr.1mlr.001a.5   0.714718  0.001329   False
p10lr.3mlr.01a.3    0.881465  0.135641    True
p25lr.15mlr.001a.5  0.982351  0.976497    True
p20lr.1mlr.002a.5   0.941765  0.572816    True

 ANOVA:
                 sum_sq     df           F        PR(>F)
C(treatments)  0.204463   12.0  217.462983  5.976544e-74
Residual       0.009167  117.0         NaN           NaN

 HSD Tukey:
            Multiple Comparison of Means - Tukey HSD, FWER=0.05             
============================================================================
      group1             group2       meandiff p-adj   lower   upper  reject
----------------------------------------------------------------------------
p10lr.05mlr.001a.5 p10lr.1mlr.0001a.5   0.0206  0.001  0.0072   0.034   True
p10lr.05mlr.001a.5   p10lr.3mlr.01a.3  -0.0144  0.024 -0.0277  -0.001   True
p10lr.05mlr.001a.5 p15lr.1mlr.0001a.5   0.0512  0.001  0.0378  0.0646   True
p10lr.05mlr.001a.5  p15lr.1mlr.001a.5   0.0298  0.001  0.0164  0.0432   True
p10lr.05mlr.001a.5 p20lr.1mlr.0001a.5   0.0837  0.001  0.0703  0.0971   True
p10lr.05mlr.001a.5  p20lr.1mlr.001a.4   0.0439  0.001  0.0305  0.0572   True
p10lr.05mlr.001a.5  p20lr.1mlr.002a.5   0.0428  0.001  0.0295  0.0562   True
p10lr.05mlr.001a.5   p20lr.2mlr.01a.5   0.0339  0.001  0.0205  0.0473   True
p10lr.05mlr.001a.5 p25lr.15mlr.001a.5   0.0875  0.001  0.0741  0.1009   True
p10lr.05mlr.001a.5 p25lr.1mlr.0001a.5   0.1113  0.001  0.0979  0.1247   True
p10lr.05mlr.001a.5  p5lr.1mlr.0001a.5   -0.009 0.5286 -0.0224  0.0043  False
p10lr.05mlr.001a.5   p5lr.2mlr.008a.5  -0.0221  0.001 -0.0355 -0.0087   True
p10lr.1mlr.0001a.5   p10lr.3mlr.01a.3   -0.035  0.001 -0.0484 -0.0216   True
p10lr.1mlr.0001a.5 p15lr.1mlr.0001a.5   0.0306  0.001  0.0172   0.044   True
p10lr.1mlr.0001a.5  p15lr.1mlr.001a.5   0.0092 0.5064 -0.0042  0.0226  False
p10lr.1mlr.0001a.5 p20lr.1mlr.0001a.5   0.0631  0.001  0.0497  0.0765   True
p10lr.1mlr.0001a.5  p20lr.1mlr.001a.4   0.0232  0.001  0.0098  0.0366   True
p10lr.1mlr.0001a.5  p20lr.1mlr.002a.5   0.0222  0.001  0.0088  0.0356   True
p10lr.1mlr.0001a.5   p20lr.2mlr.01a.5   0.0132 0.0554 -0.0001  0.0266  False
p10lr.1mlr.0001a.5 p25lr.15mlr.001a.5   0.0668  0.001  0.0535  0.0802   True
p10lr.1mlr.0001a.5 p25lr.1mlr.0001a.5   0.0907  0.001  0.0773  0.1041   True
p10lr.1mlr.0001a.5  p5lr.1mlr.0001a.5  -0.0297  0.001 -0.0431 -0.0163   True
p10lr.1mlr.0001a.5   p5lr.2mlr.008a.5  -0.0427  0.001 -0.0561 -0.0293   True
  p10lr.3mlr.01a.3 p15lr.1mlr.0001a.5   0.0656  0.001  0.0522   0.079   True
  p10lr.3mlr.01a.3  p15lr.1mlr.001a.5   0.0442  0.001  0.0308  0.0576   True
  p10lr.3mlr.01a.3 p20lr.1mlr.0001a.5   0.0981  0.001  0.0847  0.1115   True
  p10lr.3mlr.01a.3  p20lr.1mlr.001a.4   0.0582  0.001  0.0448  0.0716   True
  p10lr.3mlr.01a.3  p20lr.1mlr.002a.5   0.0572  0.001  0.0438  0.0706   True
  p10lr.3mlr.01a.3   p20lr.2mlr.01a.5   0.0482  0.001  0.0349  0.0616   True
  p10lr.3mlr.01a.3 p25lr.15mlr.001a.5   0.1018  0.001  0.0884  0.1152   True
  p10lr.3mlr.01a.3 p25lr.1mlr.0001a.5   0.1257  0.001  0.1123  0.1391   True
  p10lr.3mlr.01a.3  p5lr.1mlr.0001a.5   0.0053    0.9 -0.0081  0.0187  False
  p10lr.3mlr.01a.3   p5lr.2mlr.008a.5  -0.0077 0.7347 -0.0211  0.0057  False
p15lr.1mlr.0001a.5  p15lr.1mlr.001a.5  -0.0214  0.001 -0.0348  -0.008   True
p15lr.1mlr.0001a.5 p20lr.1mlr.0001a.5   0.0325  0.001  0.0191  0.0459   True
p15lr.1mlr.0001a.5  p20lr.1mlr.001a.4  -0.0074 0.7869 -0.0208   0.006  False
p15lr.1mlr.0001a.5  p20lr.1mlr.002a.5  -0.0084 0.6296 -0.0218   0.005  False
p15lr.1mlr.0001a.5   p20lr.2mlr.01a.5  -0.0174 0.0017 -0.0307  -0.004   True
p15lr.1mlr.0001a.5 p25lr.15mlr.001a.5   0.0362  0.001  0.0229  0.0496   True
p15lr.1mlr.0001a.5 p25lr.1mlr.0001a.5   0.0601  0.001  0.0467  0.0735   True
p15lr.1mlr.0001a.5  p5lr.1mlr.0001a.5  -0.0603  0.001 -0.0737 -0.0469   True
p15lr.1mlr.0001a.5   p5lr.2mlr.008a.5  -0.0733  0.001 -0.0867 -0.0599   True
 p15lr.1mlr.001a.5 p20lr.1mlr.0001a.5   0.0539  0.001  0.0405  0.0673   True
 p15lr.1mlr.001a.5  p20lr.1mlr.001a.4    0.014 0.0308  0.0006  0.0274   True
 p15lr.1mlr.001a.5  p20lr.1mlr.002a.5    0.013  0.065 -0.0004  0.0264  False
 p15lr.1mlr.001a.5   p20lr.2mlr.01a.5   0.0041    0.9 -0.0093  0.0175  False
 p15lr.1mlr.001a.5 p25lr.15mlr.001a.5   0.0577  0.001  0.0443  0.0711   True
 p15lr.1mlr.001a.5 p25lr.1mlr.0001a.5   0.0815  0.001  0.0681  0.0949   True
 p15lr.1mlr.001a.5  p5lr.1mlr.0001a.5  -0.0389  0.001 -0.0522 -0.0255   True
 p15lr.1mlr.001a.5   p5lr.2mlr.008a.5  -0.0519  0.001 -0.0653 -0.0385   True
p20lr.1mlr.0001a.5  p20lr.1mlr.001a.4  -0.0399  0.001 -0.0533 -0.0265   True
p20lr.1mlr.0001a.5  p20lr.1mlr.002a.5  -0.0409  0.001 -0.0543 -0.0275   True
