Training time, NORMALITY:
                           W      pval  normal
p5lr.1mlr.0001a.5   0.957066  0.751966    True
p10lr.1mlr.0001a.5  0.968672  0.878266    True
p15lr.1mlr.0001a.5  0.957213  0.753683    True
p20lr.1mlr.0001a.5  0.911353  0.290411    True
p25lr.1mlr.0001a.5  0.928007  0.428582    True
p20lr.1mlr.001a.4   0.951753  0.689263    True
p20lr.2mlr.01a.5    0.942223  0.577999    True
p5lr.2mlr.008a.5    0.923598  0.387942    True
p10lr.05mlr.001a.5  0.976161  0.941371    True
p15lr.1mlr.001a.5   0.951832  0.690200    True
p10lr.3mlr.01a.3    0.951996  0.692153    True
p25lr.15mlr.001a.5  0.885698  0.151597    True
p20lr.1mlr.002a.5   0.929067  0.438781    True

 ANOVA:
                 sum_sq     df          F        PR(>F)
C(treatments)  6.799588   12.0  122.26853  3.166384e-60
Residual       0.542216  117.0        NaN           NaN

 HSD Tukey:
            Multiple Comparison of Means - Tukey HSD, FWER=0.05             
============================================================================
      group1             group2       meandiff p-adj   lower   upper  reject
----------------------------------------------------------------------------
p10lr.05mlr.001a.5 p10lr.1mlr.0001a.5   0.2011  0.001  0.0981   0.304   True
p10lr.05mlr.001a.5   p10lr.3mlr.01a.3  -0.2401  0.001 -0.3431 -0.1371   True
p10lr.05mlr.001a.5 p15lr.1mlr.0001a.5   0.3406  0.001  0.2376  0.4435   True
p10lr.05mlr.001a.5  p15lr.1mlr.001a.5   0.2588  0.001  0.1559  0.3618   True
p10lr.05mlr.001a.5 p20lr.1mlr.0001a.5   0.4022  0.001  0.2992  0.5052   True
p10lr.05mlr.001a.5  p20lr.1mlr.001a.4   0.0787 0.3308 -0.0242  0.1817  False
p10lr.05mlr.001a.5  p20lr.1mlr.002a.5  -0.0898 0.1548 -0.1928  0.0132  False
p10lr.05mlr.001a.5   p20lr.2mlr.01a.5   0.0084    0.9 -0.0946  0.1113  False
p10lr.05mlr.001a.5 p25lr.15mlr.001a.5   0.2857  0.001  0.1827  0.3886   True
p10lr.05mlr.001a.5 p25lr.1mlr.0001a.5   0.5508  0.001  0.4478  0.6537   True
p10lr.05mlr.001a.5  p5lr.1mlr.0001a.5   0.0031    0.9 -0.0998  0.1061  False
p10lr.05mlr.001a.5   p5lr.2mlr.008a.5  -0.1916  0.001 -0.2946 -0.0886   True
p10lr.1mlr.0001a.5   p10lr.3mlr.01a.3  -0.4412  0.001 -0.5441 -0.3382   True
p10lr.1mlr.0001a.5 p15lr.1mlr.0001a.5   0.1395  0.001  0.0365  0.2425   True
p10lr.1mlr.0001a.5  p15lr.1mlr.001a.5   0.0578 0.7663 -0.0452  0.1607  False
p10lr.1mlr.0001a.5 p20lr.1mlr.0001a.5   0.2011  0.001  0.0981  0.3041   True
p10lr.1mlr.0001a.5  p20lr.1mlr.001a.4  -0.1223 0.0065 -0.2253 -0.0194   True
p10lr.1mlr.0001a.5  p20lr.1mlr.002a.5  -0.2909  0.001 -0.3939 -0.1879   True
p10lr.1mlr.0001a.5   p20lr.2mlr.01a.5  -0.1927  0.001 -0.2957 -0.0897   True
p10lr.1mlr.0001a.5 p25lr.15mlr.001a.5   0.0846 0.2268 -0.0184  0.1876  False
p10lr.1mlr.0001a.5 p25lr.1mlr.0001a.5   0.3497  0.001  0.2467  0.4527   True
p10lr.1mlr.0001a.5  p5lr.1mlr.0001a.5  -0.1979  0.001 -0.3009  -0.095   True
p10lr.1mlr.0001a.5   p5lr.2mlr.008a.5  -0.3927  0.001 -0.4956 -0.2897   True
  p10lr.3mlr.01a.3 p15lr.1mlr.0001a.5   0.5806  0.001  0.4777  0.6836   True
  p10lr.3mlr.01a.3  p15lr.1mlr.001a.5   0.4989  0.001   0.396  0.6019   True
  p10lr.3mlr.01a.3 p20lr.1mlr.0001a.5   0.6423  0.001  0.5393  0.7453   True
  p10lr.3mlr.01a.3  p20lr.1mlr.001a.4   0.3188  0.001  0.2159  0.4218   True
  p10lr.3mlr.01a.3  p20lr.1mlr.002a.5   0.1503  0.001  0.0473  0.2532   True
  p10lr.3mlr.01a.3   p20lr.2mlr.01a.5   0.2484  0.001  0.1455  0.3514   True
  p10lr.3mlr.01a.3 p25lr.15mlr.001a.5   0.5258  0.001  0.4228  0.6287   True
  p10lr.3mlr.01a.3 p25lr.1mlr.0001a.5   0.7909  0.001  0.6879  0.8938   True
  p10lr.3mlr.01a.3  p5lr.1mlr.0001a.5   0.2432  0.001  0.1403  0.3462   True
  p10lr.3mlr.01a.3   p5lr.2mlr.008a.5   0.0485    0.9 -0.0545  0.1515  False
p15lr.1mlr.0001a.5  p15lr.1mlr.001a.5  -0.0817 0.2752 -0.1847  0.0213  False
p15lr.1mlr.0001a.5 p20lr.1mlr.0001a.5   0.0616 0.6881 -0.0413  0.1646  False
p15lr.1mlr.0001a.5  p20lr.1mlr.001a.4  -0.2618  0.001 -0.3648 -0.1588   True
p15lr.1mlr.0001a.5  p20lr.1mlr.002a.5  -0.4304  0.001 -0.5333 -0.3274   True
p15lr.1mlr.0001a.5   p20lr.2mlr.01a.5  -0.3322  0.001 -0.4352 -0.2292   True
p15lr.1mlr.0001a.5 p25lr.15mlr.001a.5  -0.0549 0.8248 -0.1579  0.0481  False
p15lr.1mlr.0001a.5 p25lr.1mlr.0001a.5   0.2102  0.001  0.1072  0.3132   True
p15lr.1mlr.0001a.5  p5lr.1mlr.0001a.5  -0.3374  0.001 -0.4404 -0.2344   True
p15lr.1mlr.0001a.5   p5lr.2mlr.008a.5  -0.5321  0.001 -0.6351 -0.4292   True
 p15lr.1mlr.001a.5 p20lr.1mlr.0001a.5   0.1434  0.001  0.0404  0.2463   True
 p15lr.1mlr.001a.5  p20lr.1mlr.001a.4  -0.1801  0.001 -0.2831 -0.0771   True
 p15lr.1mlr.001a.5  p20lr.1mlr.002a.5  -0.3487  0.001 -0.4516 -0.2457   True
 p15lr.1mlr.001a.5   p20lr.2mlr.01a.5  -0.2505  0.001 -0.3535 -0.1475   True
 p15lr.1mlr.001a.5 p25lr.15mlr.001a.5   0.0268    0.9 -0.0762  0.1298  False
 p15lr.1mlr.001a.5 p25lr.1mlr.0001a.5   0.2919  0.001  0.1889  0.3949   True
 p15lr.1mlr.001a.5  p5lr.1mlr.0001a.5  -0.2557  0.001 -0.3587 -0.1527   True
 p15lr.1mlr.001a.5   p5lr.2mlr.008a.5  -0.4504  0.001 -0.5534 -0.3474   True
p20lr.1mlr.0001a.5  p20lr.1mlr.001a.4  -0.3235  0.001 -0.4264 -0.2205   True
p20lr.1mlr.0001a.5  p20lr.1mlr.002a.5   -0.492  0.001  -0.595  -0.389   True
p20lr.1mlr.0001a.5   p20lr.2mlr.01a.5  -0.3938  0.001 -0.4968 -0.2909   True
p20lr.1mlr.0001a.5 p25lr.15mlr.001a.5  -0.1165 0.0126 -0.2195 -0.0136   True
p20lr.1mlr.0001a.5 p25lr.1mlr.0001a.5   0.1486  0.001  0.0456  0.2515   True
p20lr.1mlr.0001a.5  p5lr.1mlr.0001a.5  -0.3991  0.001  -0.502 -0.2961   True
p20lr.1mlr.0001a.5   p5lr.2mlr.008a.5  -0.5938  0.001 -0.6967 -0.4908   True
 p20lr.1mlr.001a.4  p20lr.1mlr.002a.5  -0.1686  0.001 -0.2715 -0.0656   True
 p20lr.1mlr.001a.4   p20lr.2mlr.01a.5  -0.0704 0.5115 -0.1734  0.0326  False
 p20lr.1mlr.001a.4 p25lr.15mlr.001a.5   0.2069  0.001   0.104  0.3099   True
 p20lr.1mlr.001a.4 p25lr.1mlr.0001a.5    0.472  0.001  0.3691   0.575   True
 p20lr.1mlr.001a.4  p5lr.1mlr.0001a.5  -0.0756 0.3987 -0.1786  0.0274  False
 p20lr.1mlr.001a.4   p5lr.2mlr.008a.5  -0.2703  0.001 -0.3733 -0.1673   True
 p20lr.1mlr.002a.5   p20lr.2mlr.01a.5   0.0982 0.0779 -0.0048  0.2012  False
 p20lr.1mlr.002a.5 p25lr.15mlr.001a.5   0.3755  0.001  0.2725  0.4785   True
 p20lr.1mlr.002a.5 p25lr.1mlr.0001a.5   0.6406  0.001  0.5376  0.7436   True
 p20lr.1mlr.002a.5  p5lr.1mlr.0001a.5    0.093 0.1213   -0.01  0.1959  False
 p20lr.1mlr.002a.5   p5lr.2mlr.008a.5  -0.1018 0.0562 -0.2047  0.0012  False
  p20lr.2mlr.01a.5 p25lr.15mlr.001a.5   0.2773  0.001  0.1743  0.3803   True
  p20lr.2mlr.01a.5 p25lr.1mlr.0001a.5   0.5424  0.001  0.4394  0.6454   True
  p20lr.2mlr.01a.5  p5lr.1mlr.0001a.5  -0.0052    0.9 -0.1082  0.0978  False
  p20lr.2mlr.01a.5   p5lr.2mlr.008a.5  -0.1999  0.001 -0.3029  -0.097   True
p25lr.15mlr.001a.5 p25lr.1mlr.0001a.5   0.2651  0.001  0.1621  0.3681   True
p25lr.15mlr.001a.5  p5lr.1mlr.0001a.5  -0.2825  0.001 -0.3855 -0.1796   True
p25lr.15mlr.001a.5   p5lr.2mlr.008a.5  -0.4772  0.001 -0.5802 -0.3743   True
p25lr.1mlr.0001a.5  p5lr.1mlr.0001a.5  -0.5476  0.001 -0.6506 -0.4447   True
p25lr.1mlr.0001a.5   p5lr.2mlr.008a.5  -0.7423  0.001 -0.8453 -0.6394   True
 p5lr.1mlr.0001a.5   p5lr.2mlr.008a.5  -0.1947  0.001 -0.2977 -0.0917   True
----------------------------------------------------------------------------
