Classification time, NORMALITY:
                           W      pval  normal
p5lr.1mlr.0001a.5   0.873538  0.109898    True
p10lr.1mlr.0001a.5  0.970478  0.895244    True
p15lr.1mlr.0001a.5  0.892110  0.179090    True
p20lr.1mlr.0001a.5  0.981978  0.974866    True
p25lr.1mlr.0001a.5  0.934171  0.490147    True
p20lr.1mlr.001a.4   0.890706  0.172708    True
p20lr.2mlr.01a.5    0.737906  0.002543   False
p5lr.2mlr.008a.5    0.949942  0.667813    True
p10lr.05mlr.001a.5  0.942902  0.585731    True
p15l.1mlr.001a.5    0.937985  0.530818    True
p10lr.3mlr.01a.3    0.952367  0.696545    True
p25lr.15mlr.001a.5  0.942057  0.576122    True
p20lr.1mlr.002a.5   0.887047  0.157038    True

 ANOVA:
                 sum_sq     df          F        PR(>F)
C(treatments)  1.456014   12.0  120.78886  6.095338e-60
Residual       0.117529  117.0        NaN           NaN

 HSD Tukey:
            Multiple Comparison of Means - Tukey HSD, FWER=0.05             
============================================================================
      group1             group2       meandiff p-adj   lower   upper  reject
----------------------------------------------------------------------------
p10lr.05mlr.001a.5 p10lr.1mlr.0001a.5   0.0884  0.001  0.0404  0.1363   True
p10lr.05mlr.001a.5   p10lr.3mlr.01a.3   0.1677  0.001  0.1198  0.2156   True
p10lr.05mlr.001a.5   p15l.1mlr.001a.5   0.0774  0.001  0.0295  0.1253   True
p10lr.05mlr.001a.5 p15lr.1mlr.0001a.5   0.3223  0.001  0.2743  0.3702   True
p10lr.05mlr.001a.5 p20lr.1mlr.0001a.5    0.016    0.9  -0.032  0.0639  False
p10lr.05mlr.001a.5  p20lr.1mlr.001a.4   0.0203    0.9 -0.0277  0.0682  False
p10lr.05mlr.001a.5  p20lr.1mlr.002a.5   0.1059  0.001  0.0579  0.1538   True
p10lr.05mlr.001a.5   p20lr.2mlr.01a.5   0.0264 0.7895 -0.0216  0.0743  False
p10lr.05mlr.001a.5 p25lr.15mlr.001a.5   0.3123  0.001  0.2643  0.3602   True
p10lr.05mlr.001a.5 p25lr.1mlr.0001a.5   0.0148    0.9 -0.0331  0.0627  False
p10lr.05mlr.001a.5  p5lr.1mlr.0001a.5   0.1332  0.001  0.0852  0.1811   True
p10lr.05mlr.001a.5   p5lr.2mlr.008a.5   0.0069    0.9 -0.0411  0.0548  False
p10lr.1mlr.0001a.5   p10lr.3mlr.01a.3   0.0793  0.001  0.0314  0.1273   True
p10lr.1mlr.0001a.5   p15l.1mlr.001a.5   -0.011    0.9 -0.0589   0.037  False
p10lr.1mlr.0001a.5 p15lr.1mlr.0001a.5   0.2339  0.001   0.186  0.2819   True
p10lr.1mlr.0001a.5 p20lr.1mlr.0001a.5  -0.0724  0.001 -0.1204 -0.0245   True
p10lr.1mlr.0001a.5  p20lr.1mlr.001a.4  -0.0681  0.001  -0.116 -0.0202   True
p10lr.1mlr.0001a.5  p20lr.1mlr.002a.5   0.0175    0.9 -0.0304  0.0654  False
p10lr.1mlr.0001a.5   p20lr.2mlr.01a.5   -0.062 0.0018 -0.1099 -0.0141   True
p10lr.1mlr.0001a.5 p25lr.15mlr.001a.5   0.2239  0.001   0.176  0.2719   True
p10lr.1mlr.0001a.5 p25lr.1mlr.0001a.5  -0.0736  0.001 -0.1215 -0.0256   True
p10lr.1mlr.0001a.5  p5lr.1mlr.0001a.5   0.0448 0.0915 -0.0031  0.0927  False
