Classification time, NORMALITY:
                       W      pval  normal
BPE             0.740200  0.002711   False
Glove           0.875175  0.114806    True
FastText        0.885899  0.152396    True
FlairFast       0.648816  0.000212   False
Flair           0.719615  0.001524   False
Elmo            0.897560  0.205947    True
Bert            0.792964  0.011906   False
Bert_smix       0.900432  0.221499    True
XLNet           0.954837  0.725786    True
XLNet_smix      0.833454  0.036822   False
Roberta         0.904805  0.247180    True
Roberta_L       0.925257  0.402895    True
Roberta_L_smix  0.729684  0.002020   False
DistilBert      0.590453  0.000043   False

 ANOVA:
                   sum_sq     df             F         PR(>F)
C(treatments)  181.575740   13.0  78388.750945  2.290304e-239
Residual         0.022451  126.0           NaN            NaN

 HSD Tukey:
        Multiple Comparison of Means - Tukey HSD, FWER=0.05         
====================================================================
    group1         group2     meandiff p-adj   lower   upper  reject
--------------------------------------------------------------------
           BPE           Bert    1.836  0.001  1.8156  1.8564   True
           BPE      Bert_smix    2.855  0.001  2.8346  2.8754   True
           BPE     DistilBert   0.5667  0.001  0.5463  0.5871   True
           BPE           Elmo    1.792  0.001  1.7716  1.8124   True
           BPE       FastText   -0.028  0.001 -0.0484 -0.0076   True
           BPE          Flair   1.4622  0.001  1.4418  1.4827   True
           BPE      FlairFast   0.4199  0.001  0.3995  0.4403   True
           BPE          Glove  -0.0268 0.0012 -0.0473 -0.0064   True
           BPE        Roberta   0.8916  0.001  0.8712  0.9121   True
           BPE      Roberta_L   1.7866  0.001  1.7661   1.807   True
           BPE Roberta_L_smix   2.7295  0.001  2.7091    2.75   True
           BPE          XLNet   2.1993  0.001  2.1788  2.2197   True
           BPE     XLNet_smix   3.6829  0.001  3.6624  3.7033   True
          Bert      Bert_smix    1.019  0.001  0.9986  1.0394   True
          Bert     DistilBert  -1.2693  0.001 -1.2897 -1.2489   True
          Bert           Elmo   -0.044  0.001 -0.0644 -0.0236   True
          Bert       FastText   -1.864  0.001 -1.8844 -1.8436   True
          Bert          Flair  -0.3738  0.001 -0.3942 -0.3533   True
          Bert      FlairFast  -1.4161  0.001 -1.4365 -1.3957   True
          Bert          Glove  -1.8629  0.001 -1.8833 -1.8424   True
          Bert        Roberta  -0.9444  0.001 -0.9648 -0.9239   True
          Bert      Roberta_L  -0.0494  0.001 -0.0699  -0.029   True
          Bert Roberta_L_smix   0.8935  0.001  0.8731  0.9139   True
          Bert          XLNet   0.3633  0.001  0.3428  0.3837   True
          Bert     XLNet_smix   1.8469  0.001  1.8264  1.8673   True
     Bert_smix     DistilBert  -2.2883  0.001 -2.3087 -2.2679   True
     Bert_smix           Elmo   -1.063  0.001 -1.0834 -1.0426   True
     Bert_smix       FastText   -2.883  0.001 -2.9034 -2.8626   True
     Bert_smix          Flair  -1.3928  0.001 -1.4132 -1.3723   True
     Bert_smix      FlairFast  -2.4351  0.001 -2.4555 -2.4147   True
     Bert_smix          Glove  -2.8819  0.001 -2.9023 -2.8614   True
     Bert_smix        Roberta  -1.9634  0.001 -1.9838  -1.943   True
     Bert_smix      Roberta_L  -1.0685  0.001 -1.0889  -1.048   True
     Bert_smix Roberta_L_smix  -0.1255  0.001 -0.1459 -0.1051   True
     Bert_smix          XLNet  -0.6557  0.001 -0.6762 -0.6353   True
     Bert_smix     XLNet_smix   0.8279  0.001  0.8074  0.8483   True
    DistilBert           Elmo   1.2253  0.001  1.2049  1.2457   True
    DistilBert       FastText  -0.5947  0.001 -0.6151 -0.5743   True
    DistilBert          Flair   0.8955  0.001  0.8751  0.9159   True
    DistilBert      FlairFast  -0.1468  0.001 -0.1672 -0.1264   True
