        Multiple Comparison of Means - Tukey HSD, FWER=0.05         
====================================================================
    group1         group2     meandiff p-adj   lower   upper  reject
--------------------------------------------------------------------
           BPE           Bert   0.1113  0.001  0.0563  0.1662   True
           BPE      Bert_smix   0.1624  0.001  0.1074  0.2174   True
           BPE     DistilBERT   0.1526  0.001  0.0976  0.2075   True
           BPE           Elmo   0.1051  0.001  0.0501    0.16   True
           BPE       FastText   0.0751  0.001  0.0201    0.13   True
           BPE          Flair   0.0619 0.0128   0.007  0.1169   True
           BPE      FlairFast  -0.0014    0.9 -0.0564  0.0535  False
           BPE          Glove   0.0237    0.9 -0.0313  0.0786  False
           BPE        Roberta   0.1208  0.001  0.0658  0.1757   True
           BPE      Roberta_L    0.159  0.001  0.1041   0.214   True
           BPE Roberta_L_smix   0.1716  0.001  0.1167  0.2266   True
           BPE          XLNet  -0.0553 0.0471 -0.1103 -0.0003   True
           BPE     XLNet_smix   0.1086  0.001  0.0536  0.1636   True
          Bert      Bert_smix   0.0511 0.0969 -0.0039  0.1061  False
          Bert     DistilBERT   0.0413 0.3735 -0.0137  0.0962  False
          Bert           Elmo  -0.0062    0.9 -0.0612  0.0488  False
          Bert       FastText  -0.0362 0.5791 -0.0912  0.0188  False
          Bert          Flair  -0.0493 0.1277 -0.1043  0.0056  False
          Bert      FlairFast  -0.1127  0.001 -0.1677 -0.0578   True
          Bert          Glove  -0.0876  0.001 -0.1426 -0.0326   True
          Bert        Roberta   0.0095    0.9 -0.0455  0.0645  False
          Bert      Roberta_L   0.0478 0.1632 -0.0072  0.1027  False
          Bert Roberta_L_smix   0.0603 0.0178  0.0054  0.1153   True
          Bert          XLNet  -0.1666  0.001 -0.2215 -0.1116   True
          Bert     XLNet_smix  -0.0027    0.9 -0.0577  0.0523  False
     Bert_smix     DistilBERT  -0.0098    0.9 -0.0648  0.0451  False
     Bert_smix           Elmo  -0.0573 0.0324 -0.1123 -0.0023   True
     Bert_smix       FastText  -0.0873  0.001 -0.1423 -0.0324   True
     Bert_smix          Flair  -0.1005  0.001 -0.1554 -0.0455   True
     Bert_smix      FlairFast  -0.1638  0.001 -0.2188 -0.1089   True
     Bert_smix          Glove  -0.1387  0.001 -0.1937 -0.0838   True
     Bert_smix        Roberta  -0.0416 0.3597 -0.0966  0.0134  False
     Bert_smix      Roberta_L  -0.0034    0.9 -0.0583  0.0516  False
     Bert_smix Roberta_L_smix   0.0092    0.9 -0.0457  0.0642  False
