MCC scores, NORMALITY:
                       W      pval  normal
BPE             0.909677  0.278783    True
Glove           0.976878  0.946298    True
FastText        0.940865  0.562679    True
FlairFast       0.969735  0.888373    True
Flair           0.912338  0.297441    True
Elmo            0.948016  0.645086    True
Bert            0.973124  0.918206    True
Bert_smix       0.882729  0.140233    True
XLNet           0.927744  0.426072    True
XLNet_smix      0.912396  0.297856    True
Roberta         0.894332  0.189630    True
Roberta_L       0.947669  0.641015    True
Roberta_L_smix  0.923993  0.391465    True
DistilBert      0.912610  0.299402    True

 ANOVA:
                 sum_sq     df          F        PR(>F)
C(treatments)  0.878468   13.0  38.003755  2.655386e-37
Residual       0.224041  126.0        NaN           NaN

 HSD Tukey:
        Multiple Comparison of Means - Tukey HSD, FWER=0.05         
====================================================================
    group1         group2     meandiff p-adj   lower   upper  reject
--------------------------------------------------------------------
           BPE           Bert   0.1448  0.001  0.0803  0.2093   True
           BPE      Bert_smix   0.2091  0.001  0.1446  0.2736   True
           BPE     DistilBert   0.1917  0.001  0.1272  0.2562   True
           BPE           Elmo    0.118  0.001  0.0535  0.1825   True
           BPE       FastText   0.0826 0.0019  0.0181  0.1471   True
           BPE          Flair   0.0811 0.0026  0.0166  0.1456   True
           BPE      FlairFast   0.0078    0.9 -0.0567  0.0723  False
           BPE          Glove   0.0151    0.9 -0.0494  0.0796  False
           BPE        Roberta   0.1554  0.001  0.0909  0.2199   True
           BPE      Roberta_L   0.2026  0.001  0.1381  0.2671   True
           BPE Roberta_L_smix   0.2161  0.001  0.1516  0.2807   True
           BPE          XLNet  -0.0103    0.9 -0.0748  0.0542  False
           BPE     XLNet_smix    0.134  0.001  0.0695  0.1985   True
          Bert      Bert_smix   0.0643 0.0515 -0.0002  0.1288  False
          Bert     DistilBert   0.0469 0.4304 -0.0176  0.1114  False
          Bert           Elmo  -0.0268    0.9 -0.0913  0.0377  False
          Bert       FastText  -0.0622 0.0715 -0.1267  0.0023  False
          Bert          Flair  -0.0637 0.0569 -0.1282  0.0008  False
          Bert      FlairFast   -0.137  0.001 -0.2015 -0.0725   True
          Bert          Glove  -0.1297  0.001 -0.1942 -0.0652   True
          Bert        Roberta   0.0106    0.9 -0.0539  0.0751  False
          Bert      Roberta_L   0.0578  0.129 -0.0067  0.1223  False
          Bert Roberta_L_smix   0.0714 0.0162  0.0069  0.1359   True
          Bert          XLNet  -0.1551  0.001 -0.2196 -0.0906   True
          Bert     XLNet_smix  -0.0108    0.9 -0.0753  0.0537  False
     Bert_smix     DistilBert  -0.0174    0.9 -0.0819  0.0471  False
     Bert_smix           Elmo  -0.0911  0.001 -0.1556 -0.0266   True
     Bert_smix       FastText  -0.1265  0.001  -0.191  -0.062   True
